Name,Organization,Homepage,Logo,Twitter,Crunchbase URL,Market Cap,Ticker,Funding,Member,Relation,License,Headquarters,Latest Tweet Date,Description,Crunchbase Description,Crunchbase Homepage,Crunchbase City,Crunchbase Region,Crunchbase Country,Crunchbase Twitter,Crunchbase Linkedin,Crunchbase Ticker,Crunchbase Kind,Crunchbase Min Employees,Crunchbase Max Employees,Category,Subcategory,OSS,Github Repo,Github Stars,Github Description,Github Latest Commit Date,Github Latest Commit Link,Github Release Date,Github Release Link,Github Start Commit Date,Github Start Commit Link,Github Contributors Count,Github Contributors Link,Accepted,Incubation,Graduated,Dev Stats Url,Artwork Url,Blog Url,Mailing List Url,Slack Url,Youtube Url,Chat Channel
"Cloudify","Cloudify","https://cloudify.co","https://landscape.cncf.io/logos/cloudify.svg","https://twitter.com/CloudifyHQ","https://www.crunchbase.com/organization/cloudify-co",,,7000000,false,false,"Apache License 2.0","Herzliya, Israel","2022-12-06 16:06:27","Cloudify's manager related code","Cloudify specializes in IT operations automation technology that manages application and network services through open orchestration","http://cloudify.co","Herzliya","Tel Aviv","Israel","https://twitter.com/CloudifyHQ","https://www.linkedin.com/company/cloudifyco/",,"funding",51,100,"Provisioning","Automation & Configuration",true,"https://github.com/cloudify-cosmo/cloudify-manager",134,"Cloudify's manager related code","","https://github.com/cloudify-cosmo/cloudify-manager/commit/ab41c59cf42580953e6d2c9b0d38555b0cc340dc","2021-05-26 13:49:48","https://github.com/cloudify-cosmo/cloudify-manager/releases","2012-12-16 07:56:17","https://github.com/cloudify-cosmo/cloudify-manager/commit/134865c1e1f9f886fbc6a7e9db5f14a1a1d5edba",99,"https://github.com/cloudify-cosmo/cloudify-manager/graphs/contributors",,,,,,,,,,
"Couler","Ant Group","https://couler-proj.github.io/couler/index.html","https://landscape.cncf.io/logos/couler.svg","https://twitter.com/CoulerProject","https://www.crunchbase.com/organization/ant-financial",244457126001,"9988.HK",22000000000,"Gold","member","Apache License 2.0","Hangzhou, China","2022-11-21 18:48:54","Unified Interface for Constructing and Managing Workflows on different workflow engines, such as Argo Workflows, Tekton Pipelines, and Apache Airflow.","Ant Group strives to enable all consumers and small businesses to have equal access to financial and other services through technology.","https://www.antgroup.com","Hangzhou","Zhejiang","China","https://twitter.com/antgroup","https://www.linkedin.com/company/antgroup","9988.HK","market_cap",5001,10000,"Provisioning","Automation & Configuration",true,"https://github.com/couler-proj/couler",778,"Unified Interface for Constructing and Managing Workflows on different workflow engines, such as Argo Workflows, Tekton Pipelines, and Apache Airflow.","","https://github.com/couler-proj/couler/commit/db7d4c32672315078ee023f0cc5af75164794b4d","2021-04-12 14:47:58","https://github.com/couler-proj/couler/releases","2020-08-18 17:41:31","https://github.com/couler-proj/couler/commit/b5bd1bdaea43ea2391f7cb9ad4a81097f9e4c9c1",33,"https://github.com/couler-proj/couler/graphs/contributors",,,,,,,,,,
"DevStream","Cloud Native Computing Foundation (CNCF)","https://www.devstream.io/","https://landscape.cncf.io/logos/dev-stream.svg","https://twitter.com/CloudNativeFdn","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"sandbox","Apache License 2.0","San Francisco, California","2022-12-07 04:03:52","DevStream: the open-source DevOps toolchain manager (DTM).","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Automation & Configuration",true,"https://github.com/devstream-io/devstream",685,"DevStream: the open-source DevOps toolchain manager (DTM).","","https://github.com/devstream-io/devstream/commit/6b13694da261ac2242678aa651cffdd59f799edf","2022-12-07 04:21:56","https://github.com/devstream-io/devstream/releases","2021-10-09 03:13:50","https://github.com/devstream-io/devstream/commit/84a6ada73874922c74f9a878752391f397e4721d",62,"https://github.com/devstream-io/devstream/graphs/contributors","2022-06-17",,,"https://devstream.devstats.cncf.io/",,"https://blog.devstream.io/",,"https://cloud-native.slack.com/messages/devstream",,
"Digital Rebar","RackN","https://rackn.com/rebar/","https://landscape.cncf.io/logos/digital-rebar.svg","https://twitter.com/digitalrebar","https://www.crunchbase.com/organization/rackn-inc",,,2325000,false,false,"Other","Austin, Texas","","Docs, API bindings, clients and integrations supporting RackN Digital Rebar data center provisioning and workflow system.","Collaborative IaC pipeline and automation platform","http://www.rackn.com","Austin","Texas","United States","https://www.twitter.com/rackngo","https://www.linkedin.com/company/rackn/",,"funding",1,10,"Provisioning","Automation & Configuration",true,"https://github.com/digitalrebar/provision",138,"Docs, API bindings, clients and integrations supporting RackN Digital Rebar data center provisioning and workflow system.","","https://github.com/digitalrebar/provision/commit/ec1ea89ab810cc86ba12d0b22087efb2b52e1255","",,"2017-02-08 15:46:53","https://github.com/digitalrebar/provision/commit/317f954bdb794c8754aff69659c830220a71d9fe",32,"https://github.com/digitalrebar/provision/graphs/contributors",,,,,,,,,,
"Foreman","Foreman","https://theforeman.org/","https://landscape.cncf.io/logos/foreman.svg","https://twitter.com/foremanproject","https://www.crunchbase.com/organization/foreman",,,,false,false,"GNU General Public License v3.0","Raleigh, North Carolina","2022-12-01 14:30:46","an application that automates the lifecycle of servers ","Foreman is an open source lifecycle management tool for physical and virtual servers.","http://theforeman.org/","Raleigh","North Carolina","United States","https://twitter.com/foremanproject",,,,,,"Provisioning","Automation & Configuration",true,"https://github.com/theforeman/foreman",2273,"an application that automates the lifecycle of servers ","","https://github.com/theforeman/foreman/commit/b06f500d51f6655f0fe1fe6e6ac24a2d5e81b694","",,"2009-07-13 08:55:23","https://github.com/theforeman/foreman/commit/5563217a427f3786affdfb1c9e4584f04c0303e7",490,"https://github.com/theforeman/foreman/graphs/contributors",,,,,,,,,,
"Juju","Canonical","https://jaas.ai/","https://landscape.cncf.io/logos/juju.svg","https://twitter.com/ubuntu","https://www.crunchbase.com/organization/canonical-ltd",,,12800000,"Silver","member","Other","London, United Kingdom","2022-12-06 20:54:06","Universal Operator Lifecycle Manager (OLM) for Kubernetes operators, and operators for traditional Linux apps, with declarative integration between operators for automated microservice integration.","Canonical is a computer software company that markets commercial support and related services for Ubuntu and related projects.","http://www.canonical.com","London","England","United Kingdom","http://twitter.com/Canonical","https://www.linkedin.com/company/canonical-ltd-",,"funding",501,1000,"Provisioning","Automation & Configuration",true,"https://github.com/juju/juju",2058,"Universal Operator Lifecycle Manager (OLM) for Kubernetes operators, and operators for traditional Linux apps, with declarative integration between operators for automated microservice integration.","","https://github.com/juju/juju/commit/eaa92fb309f5666219fe390cd1eb2c721a684b4c","2022-12-01 08:03:47","https://github.com/juju/juju/releases","2011-08-23 15:10:42","https://github.com/juju/juju/commit/04811115d7729e219e77244b7aed2164c48bae68",254,"https://github.com/juju/juju/graphs/contributors",,,,,,,,,,
"kiosk","Loft Labs","https://github.com/loft-sh/kiosk","https://landscape.cncf.io/logos/kiosk.svg","https://twitter.com/loft_sh","https://www.crunchbase.com/organization/loft-labs",,,4600000,"Silver","member","Apache License 2.0","San Francisco, California","2022-11-30 22:03:59","kiosk 🏢 Multi-Tenancy Extension For Kubernetes - Secure Cluster Sharing & Self-Service Namespace Provisioning","Loft Labs enables any organization to scale self-service access to Kubernetes from 10 to 10,000 engineers.","https://loft.sh/","San Francisco","California","United States","https://twitter.com/loft_sh","https://www.linkedin.com/company/loft-sh/",,"funding",11,50,"Provisioning","Automation & Configuration",true,"https://github.com/loft-sh/kiosk",905,"kiosk 🏢 Multi-Tenancy Extension For Kubernetes - Secure Cluster Sharing & Self-Service Namespace Provisioning","","https://github.com/loft-sh/kiosk/commit/0a94288f6a1b2a18a4a206c9846714926a07ccde","2021-11-23 11:38:51","https://github.com/loft-sh/kiosk/releases","2020-02-04 16:14:33","https://github.com/kiosk-sh/kiosk/commit/0674d094c86506b10ee6dbf2b467a7d4791af9bd",9,"https://github.com/loft-sh/kiosk/graphs/contributors",,,,,,,,,,
"KubeDL","Cloud Native Computing Foundation (CNCF)","https://kubedl.io","https://landscape.cncf.io/logos/kube-dl.svg","https://twitter.com/CloudNativeFdn","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"sandbox","Apache License 2.0","San Francisco, California","2022-12-07 04:03:52","Run your deep learning workloads on Kubernetes more easily and efficiently.","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Automation & Configuration",true,"https://github.com/kubedl-io/kubedl",393,"Run your deep learning workloads on Kubernetes more easily and efficiently.","","https://github.com/kubedl-io/kubedl/commit/efab92800d624ed00eb603a8e41c5972af38006e","2022-12-05 14:53:49","https://github.com/kubedl-io/kubedl/releases","2019-12-10 02:18:52","https://github.com/kubedl-io/kubedl/commit/61c2155db3da6eba0f638974b67ecffc190bc7a6",22,"https://github.com/kubedl-io/kubedl/graphs/contributors","2020-06-22",,,"https://kubedl.devstats.cncf.io/","https://github.com/cncf/artwork/blob/master/examples/sandbox.md#kubedl-logos",,,"https://cloud-native.slack.com/archives/C027KH1Q71A",,
"KubeEdge","Cloud Native Computing Foundation (CNCF)","https://kubeedge.io/en/","https://landscape.cncf.io/logos/kube-edge.svg","https://twitter.com/KubeEdge","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"incubating","Apache License 2.0","San Francisco, California","2022-09-08 12:28:01","Kubernetes Native Edge Computing Framework (project under CNCF)","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Automation & Configuration",true,"https://github.com/kubeedge/kubeedge",5491,"Kubernetes Native Edge Computing Framework (project under CNCF)","","https://github.com/kubeedge/kubeedge/commit/a28d07da25bd668405e6cf7228e46a469990e027","2022-11-02 08:19:13","https://github.com/kubeedge/kubeedge/releases","2018-09-28 08:57:50","https://github.com/kubeedge/kubeedge/commit/316bd63786ff57353772847626f5f7df7f1e1f53",309,"https://github.com/kubeedge/kubeedge/graphs/contributors","2019-03-18",,,"https://kubeedge.devstats.cncf.io/","https://github.com/cncf/artwork/blob/master/examples/sandbox.md#kubeedge-logos",,"https://groups.google.com/forum/#!forum/kubeedge","https://kubeedge.slack.com/",,
"Kubefirst","Kubeshop","https://docs.kubefirst.com","https://landscape.cncf.io/logos/kubefirst.svg","https://twitter.com/kubefirst","https://www.crunchbase.com/organization/kubeshop",,,,"Silver","member","MIT License","Wilmington, Delaware","2022-12-06 15:04:13","Kubernetes Platform Provisioning for Application Delivery and Infrastruction Management","At Kubeshop, our mission is to build a thriving open-source ecosystem and pipeline of next generation Kubernetes products and projects.","https://kubeshop.io/","Wilmington","Delaware","United States","https://twitter.com/thekubeshop","https://www.linkedin.com/company/kubeshop/",,,11,50,"Provisioning","Automation & Configuration",true,"https://github.com/kubefirst/kubefirst",252,"The Kubefirst Open Source Platform","","https://github.com/kubefirst/kubefirst/commit/0299a2deb1e52041cc36f6e0d464365318cac3c0","2022-11-30 06:46:43","https://github.com/kubefirst/kubefirst/releases","2021-01-26 07:01:20","https://github.com/kubefirst/kubefirst/commit/a296f638f091150bd9f63ab2ad0341123e15a367",15,"https://github.com/kubefirst/kubefirst/graphs/contributors",,,,,,,,,,
"KubeZoo","ByteDance","https://kubewharf.github.io","https://landscape.cncf.io/logos/kube-zoo.svg","https://twitter.com/bytedancetalk","https://www.crunchbase.com/organization/bytedance",,,9405000000,false,false,"Apache License 2.0","Shanghai, China","","a lightweight kubernetes multi-tenancy gateway","ByteDance is an internet technology company that operates creative content platforms.","http://bytedance.com","Shanghai","Shanghai","China","https://twitter.com/bytedancetalk","https://www.linkedin.com/company/bytedance",,"funding",10001,1000000,"Provisioning","Automation & Configuration",true,"https://github.com/kubewharf/kubezoo",511,"a lightweight kubernetes multi-tenancy gateway","","https://github.com/kubewharf/kubezoo/commit/5ee98abe223aaa1d2508f5591059e7e76520ab35","",,"2022-07-22 06:24:52","https://github.com/kubewharf/kubezoo/commit/c2d0c1eb06c42f8e2eda00d18fb81ca998e7cc30",9,"https://github.com/kubewharf/kubezoo/graphs/contributors",,,,,,,,,,
"KusionStack","Ant Group","https://kusionstack.io/","https://landscape.cncf.io/logos/kusion-stack.svg","https://twitter.com/KusionStack","https://www.crunchbase.com/organization/ant-group",244457126001,"9988.HK",22000000000,false,false,"Apache License 2.0","Hangzhou, China","2022-12-06 03:50:43","Kusion is the engine to deliver intentions to clouds","Ant Group strives to enable all consumers and small businesses to have equal access to financial and other services through technology.","https://www.antgroup.com","Hangzhou","Zhejiang","China","https://twitter.com/antgroup","https://www.linkedin.com/company/antgroup","9988.HK","market_cap",5001,10000,"Provisioning","Automation & Configuration",true,"https://github.com/KusionStack/kusion",375,"Kusion is the engine to deliver intentions to clouds","","https://github.com/KusionStack/kusion/commit/16946d20b97654a2d310e7fd8ad2f6c922863cfd","2022-12-02 07:04:25","https://github.com/KusionStack/kusion/releases","2022-05-09 11:04:13","https://github.com/KusionStack/kusion/commit/b0e270bba01ed9d2ac95e325be7e3be819d72457",9,"https://github.com/KusionStack/kusion/graphs/contributors",,,,,,,,,,
"LinuxKit","Docker","https://github.com/linuxkit/linuxkit","https://landscape.cncf.io/logos/linux-kit.svg","https://twitter.com/moby","https://www.crunchbase.com/organization/docker",,,435855439,"Silver","member","Apache License 2.0","Palo Alto, California","","A toolkit for building secure, portable and lean operating systems for containers","Docker’s platform helps millions of developers efficiently and collaboratively build, share, and run applications.","https://www.docker.com","Palo Alto","California","United States","https://twitter.com/docker","https://www.linkedin.com/company/docker",,"funding",101,250,"Provisioning","Automation & Configuration",true,"https://github.com/linuxkit/linuxkit",7595,"A toolkit for building secure, portable and lean operating systems for containers","","https://github.com/linuxkit/linuxkit/commit/d1452385cca6574e0f0bfa8c120e39bef89f2852","2022-11-07 12:32:32","https://github.com/linuxkit/linuxkit/releases","2015-11-26 15:17:40","https://github.com/linuxkit/linuxkit/commit/0fa1e68dc65c5f484ce9c2851b5efa2c8617d4f9",171,"https://github.com/linuxkit/linuxkit/graphs/contributors",,,,,,,,,,
"MAAS","Canonical","https://maas.io/","https://landscape.cncf.io/logos/maas.svg","https://twitter.com/Canonical","https://www.crunchbase.com/organization/canonical-ltd",,,12800000,"Silver","member","Other","London, United Kingdom","2022-12-06 15:02:35","Self-service, remote installation of Windows, CentOS, ESXi and Ubuntu on real servers turns your data center into a bare-metal cloud.","Canonical is a computer software company that markets commercial support and related services for Ubuntu and related projects.","http://www.canonical.com","London","England","United Kingdom","http://twitter.com/Canonical","https://www.linkedin.com/company/canonical-ltd-",,"funding",501,1000,"Provisioning","Automation & Configuration",true,"https://github.com/maas/maas",234,"Official MAAS repository mirror (may be out of date). Development happens in Launchpad (https://git.launchpad.net/maas/).","","https://github.com/maas/maas/commit/0c069f0aafbb650928f6c8536debd0de79eb7484","",,"2012-01-16 08:33:18","https://github.com/maas/maas/commit/6fd9157bb077a6ce54a33812cecd6049eed98551",168,"https://github.com/maas/maas/graphs/contributors",,,,,,,,,,
"ManageIQ","ManageIQ","https://www.manageiq.org/","https://landscape.cncf.io/logos/manage-iq.svg","https://twitter.com/manageiq","https://www.crunchbase.com/organization/manageiq",,,5400000,false,false,"Apache License 2.0","Mahwah, New Jersey","2022-07-18 21:24:22","ManageIQ Open-Source Management Platform","ManageIQ is a commercial open-source software firm enabling organizations to deploy, manage and optimize private, public and hybrid clouds.","http://www.manageiq.com","Mahwah","New Jersey","United States","http://twitter.com/manageiq","https://www.linkedin.com/company/56141",,"funding",51,100,"Provisioning","Automation & Configuration",true,"https://github.com/ManageIQ/manageiq",1234,"ManageIQ Open-Source Management Platform","","https://github.com/ManageIQ/manageiq/commit/d4497f84a2f9f57c38d16a5e93dab8f6d6f1fa4d","",,"2014-06-13 02:33:38","https://github.com/ManageIQ/manageiq/commit/d34d87219092431c22c88a5865f25f9942ebe1ea",366,"https://github.com/ManageIQ/manageiq/graphs/contributors",,,,,,,,,,
